index,x,y,sten
132,3.000,1.000,south
333,3.100,1.000,south
334,3.200,1.000,south
335,3.300,1.000,south
336,3.400,1.000,south
337,3.500,1.000,south
338,3.600,1.000,south
339,3.700,1.000,south
340,3.800,1.000,south
341,3.900,1.000,south
193,4.000,1.000,south
193,4.000,1.000,east
194,4.000,1.100,east
195,4.000,1.200,east
196,4.000,1.300,east
197,4.000,1.400,east
198,4.000,1.500,east
199,4.000,1.600,east
200,4.000,1.700,east
201,4.000,1.800,east
202,4.000,1.900,east
203,4.000,2.000,east
204,4.000,2.100,east
205,4.000,2.200,east
206,4.000,2.300,east
207,4.000,2.400,east
208,4.000,2.500,east
209,4.000,2.600,east
210,4.000,2.700,east
211,4.000,2.800,east
212,4.000,2.900,east
213,4.000,3.000,east
152,3.000,3.000,north
445,3.100,3.000,north
446,3.200,3.000,north
447,3.300,3.000,north
448,3.400,3.000,north
449,3.500,3.000,north
450,3.600,3.000,north
451,3.700,3.000,north
452,3.800,3.000,north
453,3.900,3.000,north
213,4.000,3.000,north
132,3.000,1.000,west
133,3.000,1.100,west
134,3.000,1.200,west
135,3.000,1.300,west
136,3.000,1.400,west
137,3.000,1.500,west
138,3.000,1.600,west
139,3.000,1.700,west
140,3.000,1.800,west
141,3.000,1.900,west
142,3.000,2.000,west
143,3.000,2.100,west
144,3.000,2.200,west
145,3.000,2.300,west
146,3.000,2.400,west
147,3.000,2.500,west
148,3.000,2.600,west
149,3.000,2.700,west
150,3.000,2.800,west
151,3.000,2.900,west
152,3.000,3.000,west
